tr2000gj,tr2000ge,tr2010gj,tr2010ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G5300070960300,53007960300,G5300070960300,53007960300,1,1,1,1,1,1,1,1
G5300070960400,53007960400,G5300070960400,53007960400,1,1,1,1,1,1,1,1
G5300070960500,53007960500,G5300070960500,53007960500,1,1,1,1,1,1,1,1
G5300070960600,53007960600,G5300070960600,53007960600,1,1,1,1,1,1,1,1
G5300070960700,53007960700,G5300070960700,53007960700,1,1,1,1,1,1,1,1
G5300070960800,53007960800,G5300070960801,53007960801,0.7822820343,0.2548735095,0.2429767195,0.2807400628,0.2221664845,0.223509308,0.3084386228,0.0719939183
G5300070960800,53007960800,G5300070960802,53007960802,0.2177179657,0.7451264905,0.7570232805,0.7192599372,0.7778335155,0.776490692,0.6915613772,0.9280060817
G5300070960900,53007960900,G5300070961301,53007961301,0.3797503193,0.1488591019,0.1504313573,0.1516170216,0.1491605134,0.1513822173,0.1665541824,0.1054905111
G5300070960900,53007960900,G5300070961302,53007961302,0.6202496807,0.8511408981,0.8495686427,0.8483829784,0.8508394866,0.8486177827,0.8334458176,0.8945094889
G5300070961000,53007961000,G5300070961000,53007961000,1,1,1,1,1,1,1,1
G5300070961100,53007961100,G5300070961100,53007961100,1,1,1,1,1,1,1,1
G5300070961200,53007961200,G5300070961200,53007961200,1,1,1,1,1,1,1,1
G5300090980100,53009980100,G5300090940000,53009940000,1,1,1,1,1,1,1,1
G5300090980100,53009980100,G5300090990100,53009990100,0,0,0,0,0,0,0,0
G5300090980200,53009980200,G5300090000200,53009000200,1,1,1,1,1,1,1,1
G5300090980200,53009980200,G5300090990100,53009990100,0,0,0,0,0,0,0,0
G5300090980300,53009980300,G5300090000300,53009000300,1,1,1,1,1,1,1,1
G5300090980400,53009980400,G5300090000400,53009000400,0.9999706359,1,1,1,1,1,1,1
G5300090980400,53009980400,G5300090990100,53009990100,0,0,0,0,0,0,0,0
G5300090980400,53009980400,G5300310950702,53031950702,0.0000293641,0,0,0,0,0,0,0
G5300090980600,53009980600,G5300090000600,53009000600,0.9999080242,1,1,1,1,1,1,1
G5300090980600,53009980600,G5300090990100,53009990100,0,0,0,0,0,0,0,0
G5300090980600,53009980600,G5300310950702,53031950702,0.0000919758,0,0,0,0,0,0,0
G5300090980700,53009980700,G5300090000700,53009000700,1,1,1,1,1,1,1,1
G5300090980700,53009980700,G5300090990100,53009990100,0,0,0,0,0,0,0,0
G5300090980800,53009980800,G5300090000800,53009000800,1,1,1,1,1,1,1,1
G5300090980900,53009980900,G5300090000900,53009000900,1,1,1,1,1,1,1,1
G5300090980900,53009980900,G5300090990100,53009990100,0,0,0,0,0,0,0,0
G5300090981000,53009981000,G5300090001000,53009001000,1,1,1,1,1,1,1,1
G5300090981000,53009981000,G5300090990100,53009990100,0,0,0,0,0,0,0,0
G5300090981100,53009981100,G5300090001100,53009001100,1,1,1,1,1,1,1,1
G5300090981200,53009981200,G5300090001200,53009001200,1,1,1,1,1,1,1,1
G5300090981200,53009981200,G5300090990100,53009990100,0,0,0,0,0,0,0,0
G5300090981300,53009981300,G5300090001300,53009001300,1,1,1,1,1,1,1,1
G5300090981300,53009981300,G5300090990100,53009990100,0,0,0,0,0,0,0,0
G5300090981400,53009981400,G5300090001400,53009001400,1,1,1,1,1,1,1,1
G5300090981400,53009981400,G5300090990100,53009990100,0,0,0,0,0,0,0,0
G5300090981500,53009981500,G5300090001500,53009001500,0.99997718,1,1,1,1,1,1,1
G5300090981500,53009981500,G5300090990100,53009990100,0,0,0,0,0,0,0,0
G5300090981500,53009981500,G5300310950702,53031950702,0.00002282,0,0,0,0,0,0,0
G5300090981600,53009981600,G5300090001600,53009001600,0.9456648188,1,1,1,1,1,1,1
G5300090981600,53009981600,G5300090001700,53009001700,0.0543351812,0,0,0,0,0,0,0
G5300090981600,53009981600,G5300090990100,53009990100,0,0,0,0,0,0,0,0
G5300090981700,53009981700,G5300090001700,53009001700,1,1,1,1,1,1,1,1
G5300090981700,53009981700,G5300090990100,53009990100,0,0,0,0,0,0,0,0
G5300090981800,53009981800,G5300090001800,53009001800,1,1,1,1,1,1,1,1
G5300090981900,53009981900,G5300090001900,53009001900,0.9999224369,0.9994493961,0.9995887831,0.9994333826,0.9994551086,0.9995021671,0.9998674541,0.9967959009
G5300090981900,53009981900,G5300090002000,53009002000,0.0000274004,0.0000579548,0.0000627457,0.0000485651,0.0000686077,0.0000699981,0.0000714195,0.0000504748
G5300090981900,53009981900,G5300090002100,53009002100,0.0000501627,0.0004926491,0.0003484711,0.0005180523,0.0004762837,0.0004278348,0.0000611264,0.0031536243
G5300090981900,53009981900,G5300090990100,53009990100,0,0,0,0,0,0,0,0
G5300090982000,53009982000,G5300090002000,53009002000,1,1,1,1,1,1,1,1
G5300090982100,53009982100,G5300090002100,53009002100,1,1,1,1,1,1,1,1
G5300090982300,53009982300,G5300090002300,53009002300,0.9998601463,0.9999934094,0.9999941877,0.9999944968,0.9999945787,0.9999945593,0.9999952783,0.9999908505
G5300090982300,53009982300,G5300090990100,53009990100,0,0,0,0,0,0,0,0
G5300090982300,53009982300,G5300310950202,53031950202,0.0001132231,0,0,0,0,0,0,0
G5300090982300,53009982300,G5300310950500,53031950500,0.0000266306,0.0000065906,0.0000058123,0.0000055032,0.0000054213,0.0000054407,0.0000047217,0.0000091495
G5300110040101,53011040101,G5300110040101,53011040101,1,1,1,1,1,1,1,1
G5300110040102,53011040102,G5300110040102,53011040102,1,1,1,1,1,1,1,1
G5300110040201,53011040201,G5300110040201,53011040201,1,1,1,1,1,1,1,1
G5300110040202,53011040202,G5300110040202,53011040202,1,1,1,1,1,1,1,1
G5300110040203,53011040203,G5300110040203,53011040203,1,1,1,1,1,1,1,1
G5300110040300,53011040300,G5300110040301,53011040301,0.3260578195,0.2801137518,0.2916666667,0.2961595273,0.2956830278,0.298185941,0.3158284024,0.215339233
G5300110040300,53011040300,G5300110040302,53011040302,0.6739421805,0.7198862482,0.7083333333,0.7038404727,0.7043169722,0.701814059,0.6841715976,0.784660767
G5300110040403,53011040403,G5300110040403,53011040403,1,1,1,1,1,1,1,1
G5300110040404,53011040404,G5300110040409,53011040409,0.5804883349,0.3084415663,0.30127979,0.3045746287,0.2827184746,0.2812976704,0.3456048226,0.1065741266
G5300110040404,53011040404,G5300110040411,53011040411,0.1436590453,0.1834567632,0.1903782001,0.1712176595,0.2067323194,0.2116000317,0.1336169685,0.4115280535
G5300110040404,53011040404,G5300110040412,53011040412,0.2758526198,0.5081016704,0.5083420099,0.5242077118,0.510549206,0.5071022979,0.5207782089,0.4818978199
G5300110040405,53011040405,G5300110040413,53011040413,0.3404438334,0.5418559377,0.5444500251,0.5288220551,0.5503560529,0.5550239234,0.5398335315,0.6126760563
G5300110040405,53011040405,G5300110040414,53011040414,0.6595561666,0.4581440623,0.4555499749,0.4711779449,0.4496439471,0.4449760766,0.4601664685,0.3873239437
G5300110040406,53011040406,G5300110040415,53011040415,0.1521193882,0.5476529161,0.5442615128,0.532267614,0.5619232637,0.5664467484,0.4906906907,0.8629441624
G5300110040406,53011040406,G5300110040416,53011040416,0.8478806118,0.4523470839,0.4557384872,0.467732386,0.4380767363,0.4335532516,0.5093093093,0.1370558376
G5300110040407,53011040407,G5300110040407,53011040407,1,1,1,1,1,1,1,1
G5300110040408,53011040408,G5300110040408,53011040408,1,1,1,1,1,1,1,1
G5300110040504,53011040504,G5300110040504,53011040504,0.9999993888,0.9999962823,0.9999965029,0.9999959451,0.9999960397,0.999996168,0.9999959851,0.9999967163
G5300110040504,53011040504,G5300110040511,53011040511,0.0000006112,0.0000037177,0.0000034971,0.0000040549,0.0000039603,0.000003832,0.0000040149,0.0000032837
G5300110040505,53011040505,G5300110040505,53011040505,1,1,1,1,1,1,1,1
G5300110040506,53011040506,G5300110040510,53011040510,0.3537198941,0.6588267586,0.6746756262,0.6666584433,0.6793598576,0.6784083662,0.6632933969,0.8085540774
G5300110040506,53011040506,G5300110040511,53011040511,0.6462461163,0.3410607919,0.3252158171,0.3332310502,0.3205292957,0.3214852162,0.3365950907,0.1913404288
G5300110040506,53011040506,G5300590950200,53059950200,0.0000339896,0.0001124494,0.0001085567,0.0001105065,0.0001108467,0.0001064177,0.0001115123,0.0001054938
