tr1990gj,tr1990ge,tr2010gj,tr2010ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G41005509501,410559501,G5300390950200,53039950200,0,0,0,0,0,0,0,0
G53000109501,530019501,G5300010950100,53001950100,0.9894384947,0.999851288,0.9997978509,0.9997300322,0.9998130372,0.999683674,0.9997264955,1
G53000109501,530019501,G5300010950200,53001950200,0.0105615053,0.000148712,0.0002021491,0.0002699678,0.0001869628,0.000316326,0.0002735045,0
G53000109502,530019502,G5300010950200,53001950200,1,1,1,1,1,1,1,1
G53000109503,530019503,G5300010950300,53001950300,0.9993933914,0.9609324412,0.9646234676,0.9647887324,0.964549483,0.9639240506,0.9909365559,0.891966759
G53000109503,530019503,G5300010950500,53001950500,0.0006066086,0.0390675588,0.0353765324,0.0352112676,0.035450517,0.0360759494,0.0090634441,0.108033241
G53000109504,530019504,G5300010950300,53001950300,0.4514314873,0,0,0,0,0,0,0
G53000109504,530019504,G5300010950400,53001950400,0.5485685127,1,1,1,1,1,1,1
G53000109505,530019505,G5300010950400,53001950400,0.0027736504,0.0134545455,0.0080183276,0.0084269663,0.0100896861,0.0106609808,0.0016920474,0.0265780731
G53000109505,530019505,G5300010950500,53001950500,0.9972263496,0.9865454545,0.9919816724,0.9915730337,0.9899103139,0.9893390192,0.9983079526,0.9734219269
G53000309801,530039801,G5300030960100,53003960100,0.987411913,1,1,1,1,0.9991438356,1,1
G53000309801,530039801,G5300030960200,53003960200,0.012588087,0,0,0,0,0.0008561644,0,0
G53000309802,530039802,G5300030960100,53003960100,0.0000049667,0,0,0,0,0,0,0
G53000309802,530039802,G5300030960200,53003960200,0.9999932549,1,1,1,1,1,1,1
G53000309802,530039802,G5300030960600,53003960600,0.0000017784,0,0,0,0,0,0,0
G53000309803,530039803,G5300030960300,53003960300,1,1,1,1,1,1,1,1
G53000309804,530039804,G5300030960400,53003960400,1,1,1,1,1,1,1,1
G53000309805,530039805,G5300030960500,53003960500,1,1,1,1,1,1,1,1
G53000309806,530039806,G5300030960200,53003960200,0,0,0,0,0,0,0,0
G53000309806,530039806,G5300030960300,53003960300,0.031211839,0.0191965873,0.0213799806,0.0216086435,0.0209662716,0.0201931519,0.0238693467,0.0132890365
G53000309806,530039806,G5300030960600,53003960600,0.968788161,0.9808034127,0.9786200194,0.9783913565,0.9790337284,0.9798068481,0.9761306533,0.9867109635
G53000500101,530050101,G5300050010100,53005010100,1,1,1,1,1,1,1,1
G5300050010201,53005010201,G5300050010201,53005010201,0.9924828693,0.7935212009,0.7563925363,0.8565656566,0.6884661118,0.683106576,0.9438943894,0.3880983182
G5300050010201,53005010201,G5300050010202,53005010202,0.0075171307,0.2064787991,0.2436074637,0.1434343434,0.3115338882,0.316893424,0.0561056106,0.6119016818
G5300050010202,53005010202,G5300050010202,53005010202,1,1,1,1,1,1,1,1
G53000500103,530050103,G5300050010300,53005010300,0.9702786213,0.9104991394,0.9163729574,0.9156626506,0.9113924051,0.9106308411,0.9097014925,0.9184952978
G53000500103,530050103,G5300050010400,53005010400,0.0297213787,0.0895008606,0.0836270426,0.0843373494,0.0886075949,0.0893691589,0.0902985075,0.0815047022
G53000500104,530050104,G5300050010300,53005010300,0.1171297893,0.1227184466,0.1237218814,0.1237553343,0.1148648649,0.1124807396,0.1315789474,0.0849056604
G53000500104,530050104,G5300050010400,53005010400,0.8828702107,0.8772815534,0.8762781186,0.8762446657,0.8851351351,0.8875192604,0.8684210526,0.9150943396
G53000500105,530050105,G5300050010100,53005010100,0.1049689025,0.0300187617,0.0359685275,0.0326732673,0.0408026756,0.0396039604,0.0411347518,0.0405063291
G53000500105,530050105,G5300050010400,53005010400,0.0738575012,0.1835968909,0.1798426377,0.1841584158,0.1712374582,0.1714108911,0.1829787234,0.1607594937
G53000500105,530050105,G5300050010500,53005010500,0.6757139317,0.7834360761,0.780067441,0.7821782178,0.7866220736,0.7877475248,0.7758865248,0.7962025316
G53000500105,530050105,G5300050010600,53005010600,0.1454596646,0.0029482712,0.0041213938,0.000990099,0.0013377926,0.0012376238,0,0.0025316456
G53000500106,530050106,G5300050010600,53005010600,1,1,1,1,1,1,1,1
G53000500107,530050107,G5300050010300,53005010300,0,0,0,0,0,0,0,0
G53000500107,530050107,G5300050010701,53005010701,0.3336224265,0.121287836,0.1173940048,0.1175317994,0.1116072622,0.1091089901,0.1189234075,0.0853962416
G53000500107,530050107,G5300050010703,53005010703,0.4444067549,0.3669143108,0.3853740081,0.3757486367,0.395776456,0.4073299048,0.394455632,0.4005084759
G53000500107,530050107,G5300050010705,53005010705,0.0654274779,0.2316007951,0.2125901825,0.2252608502,0.1981097691,0.1903934669,0.2175212279,0.1285657503
G53000500107,530050107,G5300050010707,53005010707,0.0485411995,0.0157300156,0.0149294537,0.0146792908,0.0137571539,0.013685149,0.0152945185,0.0082493496
G53000500107,530050107,G5300050010708,53005010708,0.0797383366,0.2178026803,0.2164276794,0.2124971551,0.2257331776,0.2240712339,0.1911204121,0.3497378098
G53000500107,530050107,G5300050010803,53005010803,0.0282638045,0.0466643623,0.0532846715,0.0542822678,0.0550161812,0.0554112554,0.0626848019,0.0275423729
G5300050010801,53005010801,G5300050010803,53005010803,0.0027417245,0.0005160411,0.000493491,0.0005077659,0.0005170365,0.0005242077,0.000517811,0.0005064306
G5300050010801,53005010801,G5300050010807,53005010807,0.4154828373,0.0573657044,0.0555919655,0.0537084074,0.0564205055,0.0584805146,0.0501983015,0.1416168382
G5300050010801,53005010801,G5300050010810,53005010810,0.0048029411,0.0015549494,0.0013411763,0.0015732697,0.001421066,0.001399642,0.0011314787,0.0053861832
G5300050010801,53005010801,G5300050010811,53005010811,0.0907445942,0.1540046105,0.1446968944,0.1469454922,0.1417693941,0.1407553915,0.1458926507,0.0853124953
G5300050010801,53005010801,G5300050010813,53005010813,0.0816831264,0.694490711,0.7093764625,0.7050089003,0.7099220092,0.7062533869,0.7153286723,0.6358923136
G5300050010801,53005010801,G5300050010814,53005010814,0.4045447766,0.0920679836,0.0885000102,0.0922561646,0.0899499888,0.0925868575,0.0869310857,0.1312857392
G5300050010802,53005010802,G5300050010705,53005010705,0.0043360916,0.0019329164,0.0021290534,0.00162206,0.0015752993,0.0018110474,0.0017414018,0.0011402509
G5300050010802,53005010802,G5300050010803,53005010803,0.2725307993,0.1574062128,0.1531846998,0.1644129789,0.1419163219,0.1398059061,0.1719722431,0.0631951693
G5300050010802,53005010802,G5300050010805,53005010805,0.3664630772,0.2771211446,0.2831377133,0.2616465367,0.2924449778,0.2941399935,0.2501913286,0.4031138857
G5300050010802,53005010802,G5300050010807,53005010807,0.0019785064,0.0001815347,0.0001768836,0.0001904248,0.0001479482,0.0001417409,0.0001839917,0.0000535448
G5300050010802,53005010802,G5300050010809,53005010809,0.1333336722,0.3126093348,0.298387966,0.2974656732,0.3082817139,0.3134563934,0.2792947848,0.3842030094
G5300050010802,53005010802,G5300050010810,53005010810,0.1813311189,0.2505214547,0.2626561372,0.2742568114,0.255318679,0.2503430775,0.2961808996,0.14829414
G5300050010802,53005010802,G5300050010813,53005010813,0.0393027714,0.0002274019,0.0003275467,0.000405515,0.0003150599,0.0003018412,0.0004353505,0
G5300050010802,53005010802,G5300050010901,53005010901,0.0007239629,0,0,0,0,0,0,0
G5300050010901,53005010901,G5300050010805,53005010805,0.0076389234,0,0,0,0,0,0,0
G5300050010901,53005010901,G5300050010901,53005010901,0.9736375244,0.9913963174,0.9906764961,0.9891398784,0.9914931437,0.9923305861,0.9804432855,0.9985440932
G5300050010901,53005010901,G5300050011001,53005011001,0.0187235523,0.0086036826,0.0093235039,0.0108601216,0.0085068563,0.0076694139,0.0195567145,0.0014559068
G5300050010902,53005010902,G5300050010902,53005010902,1,1,1,1,1,1,1,1
G5300050011001,53005011001,G5300050011001,53005011001,1,1,1,1,1,1,1,1
G5300050011002,53005011002,G5300050011002,53005011002,1,1,1,1,1,1,1,1
G53000500111,530050111,G5300050011100,53005011100,1,1,1,1,1,1,1,1
G53000500112,530050112,G5300050011100,53005011100,0.0147196793,0.0051104216,0.0056818182,0.0068807339,0.0051935788,0.0047867711,0.0121028744,0.0020590254
G53000500112,530050112,G5300050011200,53005011200,0.9852803207,0.9948895784,0.9943181818,0.9931192661,0.9948064212,0.9952132289,0.9878971256,0.9979409746
G53000500113,530050113,G5300050011100,53005011100,0.0053046697,0,0,0,0,0,0,0
G53000500113,530050113,G5300050011200,53005011200,0.0022266604,0.0020270327,0.0015832709,0.0022061848,0.00154113,0.0013727504,0.0017285305,0.0012953632
G53000500113,530050113,G5300050011300,53005011300,0.8087126743,0.976462324,0.9760265519,0.9745470677,0.9788622949,0.9800953165,0.9698197487,0.9907211649
G53000500113,530050113,G5300050011401,53005011401,0.0022622682,0.0028381902,0.0028915412,0.0030621724,0.0025587082,0.0023703168,0.0039685864,0.0007097199
G53000500113,530050113,G5300050011402,53005011402,0.0230320615,0.0139175164,0.0141791314,0.0150158485,0.012547032,0.0116232247,0.0194605936,0.0034802242
G53000500113,530050113,G5300050011501,53005011501,0.1584616658,0.0047549366,0.0053195046,0.0051687266,0.0044908348,0.0045383916,0.0050225408,0.0037935277
G5300050011401,53005011401,G5300050011401,53005011401,1,1,1,1,1,1,1,1
G5300050011402,53005011402,G5300050011402,53005011402,1,1,1,1,1,1,1,1
G5300050011501,53005011501,G5300050011501,53005011501,1,1,1,1,1,1,1,1
G5300050011501,53005011501,G5300050011600,53005011600,0,0,0,0,0,0,0,0
G5300050011502,53005011502,G5300050011100,53005011100,0.004518614,0.0317077693,0.0315366972,0.0301608579,0.0289687138,0.0288135593,0.0303867403,0.0215827338
G5300050011502,53005011502,G5300050011503,53005011503,0.8614766013,0.6844057111,0.7067087156,0.7004021448,0.7108922364,0.709039548,0.7085635359,0.7230215827
G5300050011502,53005011502,G5300050011504,53005011504,0.1340047847,0.2838865196,0.2617545872,0.2694369973,0.2601390498,0.2621468927,0.2610497238,0.2553956835
G53000500116,530050116,G5300050011600,53005011600,1,1,1,1,1,1,1,1
G53000500117,530050117,G5300050011700,53005011700,0.9977541316,1,1,1,1,0.9994977398,1,1
G53000500117,530050117,G5300050011800,53005011800,0.0022458684,0,0,0,0,0.0005022602,0,0
G53000500118,530050118,G5300050010807,53005010807,0.0000003082,0,0,0,0,0,0,0
G53000500118,530050118,G5300050011800,53005011800,0.996303317,0.9990890458,0.9993036212,0.9991103203,0.9992441421,0.999301188,1,0.9974025974
G53000500118,530050118,G5300050011900,53005011900,0.0036885792,0.0009109542,0.0006963788,0.0008896797,0.0007558579,0.000698812,0,0.0025974026
G53000500118,530050118,G5300050012000,53005012000,0.0000003278,0,0,0,0,0,0,0
G53000500118,530050118,G5300250011402,53025011402,0.000007058,0,0,0,0,0,0,0
G53000500118,530050118,G5300770001800,53077001800,0.0000004097,0,0,0,0,0,0,0
G53000500119,530050119,G5300050011800,53005011800,0,0,0,0,0,0,0,0
G53000500119,530050119,G5300050011900,53005011900,0.9999931477,1,1,1,1,1,1,1
G53000500119,530050119,G5300050012000,53005012000,0.0000068523,0,0,0,0,0,0,0
G53000500120,530050120,G5300050012000,53005012000,1,1,1,1,1,1,1,1
G53000709601,530079601,G5300070960100,53007960100,0.9996137583,0.9895769467,0.9899244332,0.9883990719,0.9900166389,0.9909297052,0.9868073879,0.9954954955
