GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,ET1001,ET2001,ET2002,ET2003,ET2004,ET2005,ET2006,ET2007,ET2008,ET2009,ET2010
"G53003300291","1990","WA",,,,,,,,,"0291",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000006081","0000000000","Tract 291","S","+47389400","-122282362",,5036,4352,193,46,278,3,111,10,0,3,40
"G5300330029201","1990","WA",,,,,,,,,"029201",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000019165","0000000000","Tract 292.01","S","+47410873","-122246288",,4462,3835,231,61,148,0,115,11,6,8,47
"G5300330029202","1990","WA",,,,,,,,,"029202",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000006465","0000000000","Tract 292.02","S","+47396850","-122220610",,5774,5139,165,46,231,0,108,2,5,13,65
"G5300330029301","1990","WA",,,,,,,,,"029301",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000007921","0000000003","Tract 293.01","S","+47439700","-122183749",,6730,5780,252,61,493,5,81,9,7,11,31
"G5300330029302","1990","WA",,,,,,,,,"029302",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000009296","0000000123","Tract 293.02","S","+47421350","-122179091",,8615,7432,286,57,610,4,133,9,11,21,52
"G5300330029402","1990","WA",,,,,,,,,"029402",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000005170","0000000000","Tract 294.02","S","+47402581","-122175395",,7384,6413,148,35,545,19,128,4,1,18,73
"G5300330029403","1990","WA",,,,,,,,,"029403",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000002331","0000000000","Tract 294.03","S","+47407173","-122195733",,3368,2932,84,23,245,3,25,6,0,5,45
"G5300330029404","1990","WA",,,,,,,,,"029404",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000002668","0000000000","Tract 294.04","S","+47395200","-122196363",,7399,6265,255,90,513,13,130,3,12,7,111
"G5300330029501","1990","WA",,,,,,,,,"029501",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000004558","0000000000","Tract 295.01","S","+47376353","-122198297",,9284,8036,418,132,278,11,213,13,19,32,132
"G5300330029502","1990","WA",,,,,,,,,"029502",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000004340","0000000017","Tract 295.02","S","+47374908","-122172349",,4011,3579,51,22,241,7,69,1,0,5,36
