GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,ET1001,ET2001,ET2002,ET2003,ET2004,ET2005,ET2006,ET2007,ET2008,ET2009,ET2010
"G53000109501","1990","WA",,,,,,,,,"9501",,,"99","Adams","001",,,"9","9999",,,,"9999","4","Washington","53",,,,"0001628928","0000008502","BNA 9501","S","+47151277","-118397174",,2527,2444,7,22,9,3,26,0,0,0,16
"G53000109502","1990","WA",,,,,,,,,"9502",,,"99","Adams","001",,,"9","9999",,,,"9999","4","Washington","53",,,,"0002616135","0000001041","BNA 9502","S","+46918337","-118500277",,1761,1627,1,7,11,3,13,0,0,1,98
"G53000109503","1990","WA",,,,,,,,,"9503",,,"99","Adams","001",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000722607","0000002701","BNA 9503","S","+46831311","-119118203",,4633,2478,7,7,5,11,49,0,0,1,2075
"G53000109504","1990","WA",,,,,,,,,"9504",,,"99","Adams","001",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000006112","0000000000","BNA 9504","S","+46832944","-119155800",,1932,953,5,15,9,0,47,0,0,0,903
"G53000109505","1990","WA",,,,,,,,,"9505",,,"99","Adams","001",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000011962","0000000000","BNA 9505","S","+46815485","-119159088",,2750,1431,9,13,56,3,32,2,0,1,1203
"G53000309801","1990","WA",,,,,,,,,"9801",,,"99","Asotin","003",,,"9","9999",,,,"9999","4","Washington","53",,,,"0001357750","0000008530","BNA 9801","S","+46152593","-117195019",,2671,2621,1,17,13,3,14,0,0,0,2
"G53000309802","1990","WA",,,,,,,,,"9802",,,"99","Asotin","003",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000277026","0000002995","BNA 9802","S","+46365427","-117257971",,3596,3476,5,39,25,2,34,0,4,0,11
"G53000309803","1990","WA",,,,,,,,,"9803",,,"99","Asotin","003",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000003714","0000000680","BNA 9803","S","+46421013","-117050351",,3243,3034,8,96,26,1,49,0,12,0,17
"G53000309804","1990","WA",,,,,,,,,"9804",,,"99","Asotin","003",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000001602","0000000000","BNA 9804","S","+46413743","-117067469",,1755,1680,5,25,6,0,30,0,0,2,7
"G53000309805","1990","WA",,,,,,,,,"9805",,,"99","Asotin","003",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000001853","0000000000","BNA 9805","S","+46405513","-117049067",,3527,3391,10,33,21,0,52,1,2,2,15
"G53000309806","1990","WA",,,,,,,,,"9806",,,"99","Asotin","003",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000005064","0000000174","BNA 9806","S","+46393277","-117061346",,2813,2737,8,32,12,0,18,0,0,0,6
"G53000500101","1990","WA",,,,,,,,,"0101",,,"99","Benton","005",,,"9","6740",,,,"9999","4","Washington","53",,,,"0000007293","0000002576","Tract 101","S","+46320300","-119261640",,4641,4224,53,9,250,7,48,0,0,3,47
"G5300050010201","1990","WA",,,,,,,,,"010201",,,"99","Benton","005",,,"9","6740",,,,"9999","4","Washington","53",,,,"0000044209","0000000832","Tract 102.01","S","+46328268","-119340495",,3797,3495,62,18,133,0,54,0,2,1,32
"G5300050010202","1990","WA",,,,,,,,,"010202",,,"99","Benton","005",,,"9","6740",,,,"9999","4","Washington","53",,,,"0000004954","0000000000","Tract 102.02","S","+46325700","-119277018",,4677,4007,102,31,322,10,96,1,7,8,93
"G53000500103","1990","WA",,,,,,,,,"0103",,,"99","Benton","005",,,"9","6740",,,,"9999","4","Washington","53",,,,"0000005689","0000000374","Tract 103","S","+46284350","-119305672",,4067,3899,33,21,43,1,43,0,0,1,26
"G53000500104","1990","WA",,,,,,,,,"0104",,,"99","Benton","005",,,"9","6740",,,,"9999","4","Washington","53",,,,"0000001209","0000000000","Tract 104","S","+46277006","-119293285",,2575,2412,22,14,44,0,22,0,1,2,58
"G53000500105","1990","WA",,,,,,,,,"0105",,,"99","Benton","005",,,"9","6740",,,,"9999","4","Washington","53",,,,"0000003856","0000000245","Tract 105","S","+46281623","-119277486",,3731,3466,29,37,47,10,53,3,0,3,83
"G53000500106","1990","WA",,,,,,,,,"0106",,,"99","Benton","005",,,"9","6740",,,,"9999","4","Washington","53",,,,"0000007491","0000001548","Tract 106","S","+46260285","-119263974",,3647,3311,82,43,65,2,60,6,0,0,78
"G53000500107","1990","WA",,,,,,,,,"0107",,,"99","Benton","005",,,"9","6740",,,,"9999","4","Washington","53",,,,"0000110294","0000002508","Tract 107","S","+46293141","-119408287",,5786,5441,43,42,93,5,91,1,0,0,70
"G5300050010801","1990","WA",,,,,,,,,"010801",,,"99","Benton","005",,,"9","6740",,,,"9999","4","Washington","53",,,,"0000236309","0000000000","Tract 108.01","S","+46186112","-119344953",,5454,5236,42,15,84,5,58,0,0,1,13
"G5300050010802","1990","WA",,,,,,,,,"010802",,,"99","Benton","005",,,"9","6740",,,,"9999","4","Washington","53",,,,"0000028985","0000002596","Tract 108.02","S","+46233333","-119264054",,8795,8061,105,59,255,4,149,2,4,4,152
"G5300050010901","1990","WA",,,,,,,,,"010901",,,"99","Benton","005",,,"9","6740",,,,"9999","4","Washington","53",,,,"0000007453","0000000290","Tract 109.01","S","+46223520","-119201226",,4562,4061,86,27,65,2,99,1,4,4,213
"G5300050010902","1990","WA",,,,,,,,,"010902",,,"99","Benton","005",,,"9","6740",,,,"9999","4","Washington","53",,,,"0000002595","0000000000","Tract 109.02","S","+46206300","-119189872",,4041,3630,20,33,90,0,95,0,2,1,170
"G5300050011001","1990","WA",,,,,,,,,"011001",,,"99","Benton","005",,,"9","6740",,,,"9999","4","Washington","53",,,,"0000004221","0000001440","Tract 110.01","S","+46222187","-119163224",,4338,3905,75,43,65,6,104,0,12,3,125
"G5300050011002","1990","WA",,,,,,,,,"011002",,,"99","Benton","005",,,"9","6740",,,,"9999","4","Washington","53",,,,"0000002952","0000000000","Tract 110.02","S","+46204904","-119168279",,3814,3421,56,23,52,1,67,1,0,1,192
"G53000500111","1990","WA",,,,,,,,,"0111",,,"99","Benton","005",,,"9","6740",,,,"9999","4","Washington","53",,,,"0000004655","0000000000","Tract 111","S","+46199067","-119148031",,5788,5259,34,34,75,6,138,0,2,1,239
"G53000500112","1990","WA",,,,,,,,,"0112",,,"99","Benton","005",,,"9","6740",,,,"9999","4","Washington","53",,,,"0000002542","0000000000","Tract 112","S","+46205450","-119131486",,5479,3853,87,53,151,20,207,7,5,7,1089
"G53000500113","1990","WA",,,,,,,,,"0113",,,"99","Benton","005",,,"9","6740",,,,"9999","4","Washington","53",,,,"0000006484","0000001782","Tract 113","S","+46208750","-119110545",,4118,3478,15,43,39,1,114,0,3,1,424
"G5300050011401","1990","WA",,,,,,,,,"011401",,,"99","Benton","005",,,"9","6740",,,,"9999","4","Washington","53",,,,"0000002291","0000000000","Tract 114.01","S","+46195167","-119118549",,3352,3004,25,33,60,2,94,3,2,1,128
"G5300050011402","1990","WA",,,,,,,,,"011402",,,"99","Benton","005",,,"9","6740",,,,"9999","4","Washington","53",,,,"0000007140","0000000037","Tract 114.02","S","+46179416","-119115722",,4535,4285,16,23,77,8,50,0,0,1,75
"G5300050011501","1990","WA",,,,,,,,,"011501",,,"99","Benton","005",,,"9","6740",,,,"9999","4","Washington","53",,,,"0000051695","0000017109","Tract 115.01","S","+46148381","-119021435",,5497,5177,6,57,25,1,127,1,6,2,95
"G5300050011502","1990","WA",,,,,,,,,"011502",,,"99","Benton","005",,,"9","6740",,,,"9999","4","Washington","53",,,,"0000098692","0000000000","Tract 115.02","S","+46131633","-119113005",,5393,4997,35,32,78,1,121,0,1,3,125
"G53000500116","1990","WA",,,,,,,,,"0116",,,"99","Benton","005",,,"9","6740",,,,"9999","4","Washington","53",,,,"0001546145","0000090789","Tract 116","S","+46015832","-119467615",,597,482,0,3,0,0,65,0,0,0,47
"G53000500117","1990","WA",,,,,,,,,"0117",,,"99","Benton","005",,,"9","6740",,,,"9999","4","Washington","53",,,,"0000035306","0000000754","Tract 117","S","+46204542","-119766498",,5337,4085,11,25,41,9,249,5,6,1,905
"G53000500118","1990","WA",,,,,,,,,"0118",,,"99","Benton","005",,,"9","6740",,,,"9999","4","Washington","53",,,,"0000880202","0000003327","Tract 118","S","+46298816","-119715130",,4391,2979,9,17,22,11,595,0,9,0,749
"G53000500119","1990","WA",,,,,,,,,"0119",,,"99","Benton","005",,,"9","6740",,,,"9999","4","Washington","53",,,,"0000162165","0000001089","Tract 119","S","+46319133","-119580756",,4148,3610,6,57,20,4,255,0,3,1,192
"G53000500120","1990","WA",,,,,,,,,"0120",,,"99","Benton","005",,,"9","6740",,,,"9999","4","Washington","53",,,,"0001146238","0000020521","Tract 120","S","+46519875","-119528393",,0,0,0,0,0,0,0,0,0,0,0
"G53000709601","1990","WA",,,,,,,,,"9601",,,"99","Chelan","007",,,"9","9999",,,,"9999","4","Washington","53",,,,"0003047378","0000084331","BNA 9601","S","+48176858","-120586276",,1631,1424,4,36,3,1,75,0,1,0,87
"G53000709602","1990","WA",,,,,,,,,"9602",,,"99","Chelan","007",,,"9","9999",,,,"9999","4","Washington","53",,,,"0002546025","0000020067","BNA 9602","S","+47834802","-120892776",,4388,4210,7,45,12,2,68,0,2,1,41
"G53000709603","1990","WA",,,,,,,,,"9603",,,"99","Chelan","007",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000457608","0000047897","BNA 9603","S","+47861243","-120166532",,4949,4244,3,35,37,10,113,1,3,2,501
"G53000709604","1990","WA",,,,,,,,,"9604",,,"99","Chelan","007",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000136902","0000019153","BNA 9604","S","+47925174","-120130582",,2309,1718,2,18,5,2,164,0,4,1,395
"G53000709605","1990","WA",,,,,,,,,"9605",,,"99","Chelan","007",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000843476","0000001524","BNA 9605","S","+47462485","-120580638",,5311,4698,5,17,16,1,404,0,2,1,167
"G53000709606","1990","WA",,,,,,,,,"9606",,,"99","Chelan","007",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000009469","0000000427","BNA 9606","S","+47512455","-120462588",,3581,3244,1,20,16,0,171,0,0,0,129
"G53000709607","1990","WA",,,,,,,,,"9607",,,"99","Chelan","007",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000153035","0000006878","BNA 9607","S","+47553597","-120338377",,4488,4245,3,22,28,3,102,0,2,1,82
"G53000709608","1990","WA",,,,,,,,,"9608",,,"99","Chelan","007",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000006109","0000000513","BNA 9608","S","+47432937","-120326623",,8230,7569,22,67,104,0,170,2,5,0,291
"G53000709609","1990","WA",,,,,,,,,"9609",,,"99","Chelan","007",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000043229","0000000000","BNA 9609","S","+47403823","-120388036",,5507,5152,6,31,50,4,92,0,6,0,166
"G53000709610","1990","WA",,,,,,,,,"9610",,,"99","Chelan","007",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000002498","0000000347","BNA 9610","S","+47417235","-120309794",,5468,4350,15,99,61,14,240,1,9,0,679
"G53000709611","1990","WA",,,,,,,,,"9611",,,"99","Chelan","007",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000005904","0000000732","BNA 9611","S","+47398377","-120302819",,3780,3368,6,38,23,1,79,1,3,3,258
"G53000709612","1990","WA",,,,,,,,,"9612",,,"99","Chelan","007",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000315408","0000005221","BNA 9612","S","+47328986","-120263716",,2608,2311,1,21,14,0,122,0,1,0,138
"G53000909801","1990","WA",,,,,,,,,"9801",,,"99","Clallam","009",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000110552","0000280095","BNA 9801","S","+48378494","-124673518",,1214,250,6,902,5,0,5,0,38,4,4
"G53000909802","1990","WA",,,,,,,,,"9802",,,"99","Clallam","009",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000960805","0000927189","BNA 9802","S","+48206275","-124438054",,1752,1418,125,81,15,0,44,11,5,0,53
"G53000909803","1990","WA",,,,,,,,,"9803",,,"99","Clallam","009",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000026109","0000000000","BNA 9803","S","+47946770","-124383440",,4431,3858,63,188,65,5,101,1,20,2,128
"G53000909804","1990","WA",,,,,,,,,"9804",,,"99","Clallam","009",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000443916","0000003704","BNA 9804","S","+48051348","-124365758",,927,885,1,34,4,0,2,0,0,0,1
"G53000909805","1990","WA",,,,,,,,,"9805",,,"99","Clallam","009",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000707752","0000023281","BNA 9805","S","+48003541","-124208592",,1488,1123,3,321,11,1,8,0,14,0,7
"G53000909806","1990","WA",,,,,,,,,"9806",,,"99","Clallam","009",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000993565","0000341445","BNA 9806","S","+48051269","-123800042",,2507,2279,6,156,28,0,36,0,0,2,0
"G53000909807","1990","WA",,,,,,,,,"9807",,,"99","Clallam","009",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000009272","0000110144","BNA 9807","S","+48190986","-123459641",,3631,3477,7,66,44,0,29,0,1,0,7
"G5300090980799","1990","WA",,,,,,,,,"980799",,,"99","Clallam","009",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000000000","0000000000","BNA 9807.99","S","+48139840","-123408138",,34,31,1,0,0,0,2,0,0,0,0
"G53000909808","1990","WA",,,,,,,,,"9808",,,"99","Clallam","009",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000003334","0000000000","BNA 9808","S","+48114452","-123457559",,3866,3627,15,122,40,2,38,4,6,6,6
"G53000909809","1990","WA",,,,,,,,,"9809",,,"99","Clallam","009",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000001636","0000000000","BNA 9809","S","+48109718","-123442524",,2564,2397,16,56,32,0,44,0,6,2,11
"G53000909810","1990","WA",,,,,,,,,"9810",,,"99","Clallam","009",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000001098","0000000000","BNA 9810","S","+48109273","-123432696",,1900,1745,8,69,29,0,33,0,6,0,10
"G53000909811","1990","WA",,,,,,,,,"9811",,,"99","Clallam","009",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000013589","0000000006","BNA 9811","S","+48088800","-123432017",,3957,3729,11,73,86,0,32,2,5,0,19
"G53000909812","1990","WA",,,,,,,,,"9812",,,"99","Clallam","009",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000002106","0000017721","BNA 9812","S","+48208267","-123391234",,2135,2036,9,48,12,1,19,0,1,2,7
"G53000909813","1990","WA",,,,,,,,,"9813",,,"99","Clallam","009",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000008028","0000045030","BNA 9813","S","+48185431","-123380930",,2696,2590,3,37,11,0,45,0,0,2,8
"G53000909814","1990","WA",,,,,,,,,"9814",,,"99","Clallam","009",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000130765","0000072718","BNA 9814","S","+48090045","-123311334",,3865,3724,7,52,25,0,48,0,5,1,3
"G53000909815","1990","WA",,,,,,,,,"9815",,,"99","Clallam","009",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000526791","0000027933","BNA 9815","S","+48006094","-123433352",,2111,1921,2,130,19,3,26,0,3,0,7
"G53000909816","1990","WA",,,,,,,,,"9816",,,"99","Clallam","009",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000023659","0000243757","BNA 9816","S","+48187974","-123171939",,2174,2098,0,37,15,1,15,0,5,0,3
"G53000909817","1990","WA",,,,,,,,,"9817",,,"99","Clallam","009",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000023236","0000002782","BNA 9817","S","+48122861","-123166733",,2189,2118,0,13,32,0,20,0,0,0,6
"G53000909818","1990","WA",,,,,,,,,"9818",,,"99","Clallam","009",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000182882","0000000000","BNA 9818","S","+47989461","-123185956",,1947,1889,3,33,6,0,10,0,1,4,1
"G53000909819","1990","WA",,,,,,,,,"9819",,,"99","Clallam","009",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000036508","0000116648","BNA 9819","S","+48225275","-123071714",,3167,3021,5,78,24,1,21,0,4,1,12
"G53000909820","1990","WA",,,,,,,,,"9820",,,"99","Clallam","009",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000003993","0000000000","BNA 9820","S","+48082399","-123113692",,2270,2194,0,27,17,0,32,0,0,0,0
"G53000909821","1990","WA",,,,,,,,,"9821",,,"99","Clallam","009",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000002145","0000000000","BNA 9821","S","+48083964","-123095807",,1614,1517,9,19,27,0,27,1,1,1,12
"G53000909822","1990","WA",,,,,,,,,"9822",,,"99","Clallam","009",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000023724","0000000000","BNA 9822","S","+48064722","-123113917",,2447,2368,0,16,36,0,20,0,1,0,6
"G53000909823","1990","WA",,,,,,,,,"9823",,,"99","Clallam","009",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000284488","0000198787","BNA 9823","S","+48063131","-123021921",,1578,1543,2,15,4,0,14,0,0,0,0
"G53001100401","1990","WA",,,,,,,,,"0401",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000387849","0000016915","Tract 401","S","+45910104","-122380404",,4630,4407,6,77,17,1,73,3,5,3,38
"G53001100402","1990","WA",,,,,,,,,"0402",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000190571","0000002541","Tract 402","S","+45893186","-122618045",,7969,7664,13,74,51,7,88,0,3,1,68
"G53001100403","1990","WA",,,,,,,,,"0403",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000086522","0000008707","Tract 403","S","+45816251","-122719441",,3647,3489,8,39,25,0,59,0,0,1,26
"G5300110040401","1990","WA",,,,,,,,,"040401",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000056831","0000000168","Tract 404.01","S","+45783526","-122630558",,6638,6316,28,45,109,0,68,1,1,6,64
"G5300110040402","1990","WA",,,,,,,,,"040402",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000069112","0000000111","Tract 404.02","S","+45781972","-122544354",,8985,8581,21,79,73,7,146,2,4,0,72
"G5300110040501","1990","WA",,,,,,,,,"040501",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000234047","0000000055","Tract 405.01","S","+45774781","-122375736",,6656,6410,22,48,51,2,58,1,2,1,61
"G5300110040502","1990","WA",,,,,,,,,"040502",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000155594","0000009069","Tract 405.02","S","+45636814","-122316603",,4424,4291,9,38,26,3,31,3,1,1,21
"G5300110040503","1990","WA",,,,,,,,,"040503",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000008363","0000000963","Tract 405.03","S","+45583368","-122335065",,5059,4910,6,39,40,1,27,0,0,1,35
"G5300110040601","1990","WA",,,,,,,,,"040601",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000080320","0000000000","Tract 406.01","S","+45675572","-122434041",,4788,4622,14,31,58,0,41,4,1,2,15
"G5300110040602","1990","WA",,,,,,,,,"040602",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000036924","0000001290","Tract 406.02","S","+45616968","-122421089",,3851,3763,8,12,40,0,26,0,1,0,1
"G5300110040702","1990","WA",,,,,,,,,"040702",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000039542","0000000000","Tract 407.02","S","+45717232","-122543611",,4257,4074,6,19,46,0,54,0,5,5,48
"G5300110040703","1990","WA",,,,,,,,,"040703",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000004766","0000000000","Tract 407.03","S","+45684961","-122559489",,3588,3355,26,27,72,1,67,0,7,5,28
"G5300110040704","1990","WA",,,,,,,,,"040704",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000008458","0000000000","Tract 407.04","S","+45685700","-122526993",,5961,5562,70,101,81,2,69,0,6,7,63
"G5300110040801","1990","WA",,,,,,,,,"040801",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000011853","0000000029","Tract 408.01","S","+45689716","-122627589",,7719,7191,92,65,139,9,166,11,4,6,36
"G5300110040802","1990","WA",,,,,,,,,"040802",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000016314","0000000004","Tract 408.02","S","+45705850","-122605098",,5425,5149,57,31,68,2,100,0,2,0,16
"G5300110040902","1990","WA",,,,,,,,,"040902",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000037107","0000000366","Tract 409.02","S","+45746024","-122696202",,6422,6183,41,26,85,7,60,0,0,1,19
"G5300110040903","1990","WA",,,,,,,,,"040903",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000009768","0000000188","Tract 409.03","S","+45710033","-122704156",,6258,5934,45,41,109,2,77,4,0,1,45
"G5300110040904","1990","WA",,,,,,,,,"040904",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000004379","0000000000","Tract 409.04","S","+45701350","-122665249",,4591,4223,56,32,134,9,93,3,10,1,30
"G5300110041002","1990","WA",,,,,,,,,"041002",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000007512","0000000000","Tract 410.02","S","+45665291","-122649393",,5241,4912,39,55,100,8,76,4,6,4,37
"G5300110041003","1990","WA",,,,,,,,,"041003",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000003413","0000000061","Tract 410.03","S","+45661900","-122680524",,3296,3134,40,23,64,0,28,0,0,0,7
"G5300110041005","1990","WA",,,,,,,,,"041005",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000035369","0000022922","Tract 410.05","S","+45694848","-122732634",,2126,1920,47,29,52,0,62,1,2,0,13
"G5300110041006","1990","WA",,,,,,,,,"041006",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000004981","0000000023","Tract 410.06","S","+45686150","-122679967",,6679,6165,88,62,188,4,122,0,9,1,40
"G5300110041007","1990","WA",,,,,,,,,"041007",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000001958","0000000000","Tract 410.07","S","+45673700","-122674202",,2999,2825,27,20,52,4,55,0,2,2,12
"G5300110041103","1990","WA",,,,,,,,,"041103",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000005260","0000000000","Tract 411.03","S","+45662233","-122587780",,3708,3488,18,36,91,1,50,0,0,1,23
"G5300110041104","1990","WA",,,,,,,,,"041104",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000001969","0000000000","Tract 411.04","S","+45668764","-122570564",,2343,2145,37,20,47,0,59,1,1,6,27
"G5300110041105","1990","WA",,,,,,,,,"041105",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000004641","0000000000","Tract 411.05","S","+45668512","-122614923",,3273,3105,29,23,56,0,44,4,0,2,10
"G5300110041106","1990","WA",,,,,,,,,"041106",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000006063","0000000017","Tract 411.06","S","+45652283","-122614199",,7256,6606,178,57,214,8,102,3,5,8,75
"G5300110041201","1990","WA",,,,,,,,,"041201",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000004379","0000000438","Tract 412.01","S","+45609018","-122562270",,4124,3813,32,31,144,1,53,0,3,3,44
"G5300110041203","1990","WA",,,,,,,,,"041203",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000003729","0000000000","Tract 412.03","S","+45647000","-122581829",,3701,3332,97,31,100,9,67,9,6,6,44
"G5300110041204","1990","WA",,,,,,,,,"041204",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000005484","0000000000","Tract 412.04","S","+45632872","-122575058",,7573,6875,124,72,292,9,140,4,7,7,43
"G5300110041304","1990","WA",,,,,,,,,"041304",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000007924","0000000000","Tract 413.04","S","+45658587","-122551353",,6813,6222,109,79,190,5,139,2,1,14,52
"G5300110041305","1990","WA",,,,,,,,,"041305",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000013796","0000000000","Tract 413.05","S","+45653950","-122497762",,5942,5514,72,54,160,3,88,1,8,12,30
"G5300110041306","1990","WA",,,,,,,,,"041306",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000006672","0000000000","Tract 413.06","S","+45629850","-122542095",,5385,4926,98,66,136,1,105,1,6,11,35
"G5300110041307","1990","WA",,,,,,,,,"041307",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000009476","0000000000","Tract 413.07","S","+45629000","-122503874",,6536,5939,154,43,217,6,91,4,2,7,73
"G5300110041308","1990","WA",,,,,,,,,"041308",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000004432","0000000000","Tract 413.08","S","+45612624","-122524898",,6305,5481,169,40,397,2,124,10,1,25,56
"G5300110041309","1990","WA",,,,,,,,,"041309",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000002706","0000000043","Tract 413.09","S","+45605072","-122535713",,4240,3821,66,17,214,1,68,3,3,3,44
"G5300110041310","1990","WA",,,,,,,,,"041310",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000003393","0000000557","Tract 413.10","S","+45597010","-122517086",,3527,3171,52,19,205,0,38,0,1,10,31
"G5300110041311","1990","WA",,,,,,,,,"041311",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000013341","0000001070","Tract 413.11","S","+45603728","-122481839",,1153,1109,8,3,23,3,7,0,0,0,0
"G53001100414","1990","WA",,,,,,,,,"0414",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000009101","0000004046","Tract 414","S","+45580699","-122428633",,3357,3234,8,23,38,3,35,0,2,1,13
"G53001100415","1990","WA",,,,,,,,,"0415",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000003549","0000001244","Tract 415","S","+45582960","-122388463",,2444,2329,8,35,29,1,37,0,1,0,4
"G53001100416","1990","WA",,,,,,,,,"0416",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000002813","0000000000","Tract 416","S","+45638050","-122617551",,2549,2196,52,28,183,0,47,1,6,0,36
"G53001100417","1990","WA",,,,,,,,,"0417",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000001128","0000000000","Tract 417","S","+45641350","-122637974",,3605,3085,99,51,181,1,132,3,3,1,49
"G53001100418","1990","WA",,,,,,,,,"0418",,,"79","Clark","011",,,"9","6442",,,,"8725","4","Washington","53",,,,"0000001507","0000000000","Tract 418","S","+45646050","-122652222",,3730,3331,53,75,145,3,72,0,7,2,42
